job_title,employment_type,company,salary,processed_salary,min_education_level,requirements
HSE and Compliance Manager (Toy/Garment/Footwear - Remote),Full time,METASOURCE COMPANY LIMITED,"$1,700 – $2,500 per month (USD)",Rp. 33.316.500,,Not Found
Inside Sales Representative - Remote (U.S Time),Contract/Temp,PT. PERSOLKELLY Recruitment Indonesia,Rp 8.000.000 – Rp 12.000.000 per month,Rp. 10.000.000,,Not Found
Executive Assistant to CEO (Remote),Full time,PT Sayap Garuda Indah,Rp 8.349.000 – Rp 12.500.000 per month,Rp. 10.424.500,S1,"Education: Bachelor’s degree in Business Administration or a related field.Age: 28-40 years.Experience: At least 7 years in executive support, preferably in a remote setting.Skills: Exceptional written and spoken English, strong IT skills (Microsoft Office, communication tools), outstanding time management, and multitasking abilities.Qualities: Proactive, organized, and highly reliable in managing diverse responsibilities."
Senior .NET Developer (Full Remote),Full time,DevStack,Rp 14.000.000 – Rp 21.000.000 per month,Rp. 17.500.000,,Not Found
Site Development Supervisor (Remote),Full time,PT MGI GAYA HIDUP MANAJEMEN,Rp 16.000.000 – Rp 20.000.000 per month,Rp. 18.000.000,,Not Found
IT Support,Full time,PT Kredit Biro Indonesia Jaya (Credit Bureau Indonesia),Rp 7.000.000 – Rp 10.000.000 per month,Rp. 8.500.000,,Not Found
Executive Assistant (Full Remote),Full time,DevStack,Rp 6.000.000 – Rp 7.500.000 per month,Rp. 6.750.000,,Not Found
Odoo Developer cum IT Support,Full time,THE MUSIC WORKS PTE. LTD.,"Rp 8,500,000 – Rp 10,000,000 per month",Rp. 9.250.000,,"Strong analytical and problem-solving abilities.Effective communication and collaboration skills to work with non-technical teams.High attention to detail and commitment to delivering quality results.Self-motivated and able to work independently while aligning with team goals.
Preferred Skills:"
AI Trainer - Language Specialist (Indonesian/English),Part time,"Ebit Co., Ltd",$5 per hour (USD),Rp. 19.038.000,,"Any writing experience; Enrollment or completion of an undergraduate program in a humanities field or field related to writing
Experience in translating between English and Indonesian
Experience in writing professionally (copywriter, journalist, technical writer, editor, etc.)"
Business Development Manager,Full time,THE MUSIC WORKS PTE. LTD.,"Rp 9,000,000 – Rp 12,000,000 per month",Rp. 10.500.000,,Not Found
Sales Executive  (Remote Work Opportunity),Full time,PT JAC Consulting Indonesia,Rp 20.000.000 – Rp 25.000.000 per month,Rp. 22.500.000,,Not Found
Kerja Remote Freelance WFH Host Live Streaming,Full time,BlueMeteor,Rp 3.500.000 – Rp 5.000.000 per month,Rp. 4.250.000,,"Memiliki Hp Tipe Android
Pendaftaran gratis
kami tidak melihat Ijasah semua bisa,
tanpa pengalaman
yang paling penting percaya diri dan tidak pemalu no drama and open mind please
Terbiasa tampil di depan kamera"
Sales Manager (remotely),Full time,PT. MATCH MAKERS AGENCY,Rp 4.000.000 – Rp 5.500.000 per month,Rp. 4.750.000,,"Proficiency in EnglishMinimum of 2 years of experience in sales, particularly in servicesEnergetic and reliableStrong communication and negotiation skills"
Sales and Service Coordinator (Remote/WFH),Full time,RemoHires,Rp7.000.000 – Rp8.000.000 per month,Rp. 7.500.000,,"Proven experience in telemarketing, customer service, or scheduling roles, with a strong preference for candidates with cold-calling experience.Exceptional communication and interpersonal skills with a customer-centered approach, capable of building positive relationships and managing customer inquiries effectively.High proficiency in both verbal and written English, enabling clear and professional communication with customers and team members.Demonstrated selling skills, especially in conducting cold calls, engaging clients, and guiding them through the sign-up process.Strong data management skills with advanced proficiency in Excel or Google Sheets for accurate record-keeping and organization.Detail-oriented with the ability to manage a high volume of customer information and maintain well-organized, accurate records.Willingness to work overnight hours (9 PM to 5 AM) to effectively support clients in different time zones.Self-motivated and able to work independently in a remote environment, with a proactive approach to problem-solving and task completion.
Device Requirements:
Reliable computer/laptop with updated processor and operating systemStable connection with at least 10 Mbps download speedNoise-canceling headset with microphone"
ERP Consultant (Japanese Speaker) - Jakarta - Remote Work,Contract/Temp,PT. PERSOLKELLY Recruitment Indonesia,Rp 20.000.000 – Rp 30.000.000 per month,Rp. 25.000.000,S1,"Minimum bachelor’s degree or equivalentAt least 2 years of experience in related fields such as Finance & Accounting, Sales, Procurement, Production, Logistics, or ITProfessional proficiency in Japanese (JLPT N2 or N1 required)Proficient in Microsoft OfficeStrong interpersonal skills and a good team player"
Cloud Engineer (Remote/WFH),Full time,RemoHires,Rp 8.000.000 – Rp 10.000.000 per month,Rp. 9.000.000,S1,"Bachelor’s degree in Computer Science, Engineering, or related field (or equivalent experience).3+ years in cloud infrastructure, DevOps, or system engineering, with experience advising on cloud strategy.Demonstrated expertise with a major cloud provider (AWS, Azure, or Google Cloud).Proficiency in cloud platforms, infrastructure as code (Terraform, CloudFormation), and containerization tools (Docker, Kubernetes).Strong scripting skills (e.g., Python, Bash, PowerShell) for automation.Solid understanding of networking (DNS, VPN, VPC, load balancing) and cloud security best practices.AWS Certified Solutions Architect, Microsoft Certified: Azure Solutions Architect, or similar.
Requirements:
Analytical skills and strategic thinking to assess and recommend cloud solutions.Strong communication skills for explaining complex technical concepts to clients and collaborating across teams.Self-motivated, able to work effectively in a remote environment."
Sales Marketing,Full time,PT. Osell Selection Indonesia,Rp 4.700.000 – Rp 5.000.000 per month,Rp. 4.850.000,,"Age: 20 - 33 years oldActive English is preferredMinimum High School GraduateHave experience of at least 1 year in the sales and marketing fieldGood communication and negotiation skillsHonest and Good working attitudeExperience in e-commerce, internet, or trade industry is preferredHaving channel / database of household appliance stores / beauty stores / glassware stores / electronics stores in SurabayaHaving own vehicles and SIM C (Required for remote working system)Willing to join immediately"
Programmer (.NET)  Software Developer (Full Remote),Contract/Temp,PT Profescipta Wahanatehnik,"IDR 6,000,000 - 7,000,000",Rp. 6.500.000,D3,"Minimum 2 year experience in software development process. Freshgraduate are welcome to apply.Candidate must possess at least an Associate Degree from information system or related fields,Familiarity on SDLC process and agile tools,Proficiency in .NET framework and C#,Possesses strong logic and algorithm design,Strong teamwork attitude, independent, and familiar with agile environment."
Front End Developer - Experienced,Full time,PT Gajah Agung Mandiri,Rp 9.000.000 – Rp 13.500.000 per month,Rp. 11.250.000,S1,"Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication) or equivalent.Required language(s): EnglishAt least 5 Year(s) of working experience in the related field is required for this position.Required Skill(s): HTML, CSS, Bootstrap,Java Script, React JS, React - Next Js , Mobile Native & Web3 Js (optional )React Native / Android or IOS knowledge ( Kotlin/Swift)  is an advantage.All Frontend Integrations to back end.REST API/GRAPH QL.
Web 3 Integrations knowledge is also an advantage."
Junior Accountant - Manufacturing Industry - Remote Work,Contract/Temp,PT. PERSOLKELLY Recruitment Indonesia,Rp 6.000.000 – Rp 8.500.000 per month,Rp. 7.250.000,S1,"Bachelor's degree, preferably in Accounting, Business Administration, or related fields.1 year of proven working experience in Accounting.Fresh Graduates with strong academic achievement are also welcome to apply.Proficiency with Microsoft Office products (Word, Outlook, Excel).  Previous experience in Netsuite is preferredAbility to communicate clearly with excellent verbal, written, and listening skillsAbility to work as an individual contributor and as a valued participant in a team-based environmentA high degree of accuracy and attention to detailHigh Integrity, Proactive, and Willingness to learn is a MUST"
Personal Assistant,Full time,Production House,Rp 20.000.000 – Rp 25.000.000 per month,Rp. 22.500.000,,Not Found
