Job Title,Job Category,Company Name,Salary,Requirements
Penulis Lepas Bilingual - Pelatih AI,Contract,DataAnnotation,"From Rp. 310,574 an hour","Kualifikasi:
- Fasih berbahasa Indonesia dan Inggris (tingkat native atau bilingual)
- Gelar sarjana (sedang dijalani atau sudah selesai)
- Keterampilan menulis dan tata bahasa yang sangat baik
- Keterampilan penelitian dan pengecekan fakta yang kuat untuk memastikan keakuratan dan orisinalitas"
Penerjemah Bilingual - Pelatih AI,Contract,DataAnnotation,"From Rp. 310,574 an hour","Kualifikasi:

- Fasih berbahasa Indonesia dan Inggris (tingkat native atau bilingual)
- Gelar sarjana (selesai atau sedang berjalan)
- Keterampilan menulis dan tata bahasa yang sangat baik
- Keterampilan riset dan pengecekan fakta yang kuat untuk memastikan keakuratan dan orisinalitas"
Tutor- AI Trainer,Contract,DataAnnotation,"From Rp. 316,720 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Editor Konten Bilingual - Pelatih AI,Contract,DataAnnotation,"From Rp. 310,574 an hour","**Kualifikasi:**

- Fasih berbahasa Indonesia dan Inggris (tingkat native atau bilingual).
- Gelar sarjana (sudah lulus atau sedang menempuh pendidikan).
- Keterampilan menulis dan tata bahasa yang sangat baik.
- Keterampilan riset dan pengecekan fakta yang kuat untuk memastikan keakuratan dan orisinalitas."
Bilingual Freelance Writer - AI Trainer,Contract,DataAnnotation,"From Rp. 310,574 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Translator- AI Trainer,Contract,DataAnnotation,"From Rp. 316,720 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Localization Specialist- AI Trainer,Contract,DataAnnotation,"From Rp. 316,720 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Travel Consultant- AI Trainer,Contract,DataAnnotation,"From Rp. 316,720 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Bilingual Community Manager- AI Trainer,Contract,DataAnnotation,"From Rp. 316,720 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Bilingual Customer Support Specialist- AI Trainer,Contract,DataAnnotation,"From Rp. 316,720 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Interpreter- AI Trainer,Contract,DataAnnotation,"From Rp. 316,720 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Bilingual Marketing Specialist- AI Trainer,Contract,DataAnnotation,"From Rp. 316,720 an hour","Qualifications:

Fluent in Indonesian + English
A bachelor's degree (completed or in progress)
Excellent writing and grammar skills
Strong research and fact-checking skills to ensure accuracy and originality"
Backend Engineer (3+ Years Experience),Full-time / Contract,Pabbl,"Rp. 10,000,000 - Rp. 17,000,000 a month","Requirements:

3+ years of experience in backend development.
Proficiency in Java and Spring.
Strong experience with MySQL database design and optimization.
Excellent problem-solving skills.
Good communication skills and a team player.
Organized and detail-oriented.
Basic data analysis skills.
Fluent in English.
Based in Indonesia (preferably Bali), but remote work is possible.
Knowledge of ElasticSearch for search solutions (optional).
Familiarity with monitoring tools like Grafana (optional).
Experience with Retool and React Native is a plus (optional)."
