Job Title,Job Category,Company Name,Salary,Requirements
"Frontend Engineer, Digital Venture - Fully REMOTE",Contract/Temp,CP AXTRA PUBLIC COMPANY LIMITED,,"You are experienced in building modern JavaScript-based applications in React NativeYou have demonstrable experience with HTML, CSS/LESS/SCSS/etc., JavaScript, ES6+ and responsive designExperience with nest.js, GraphQL and AWSYou have exposure to mobile development with native or web-to-native tooling and frameworksYou understand distributed architecture and usage of RESTful APIs and how to use them in practiceYou are able to write effective unit, integration, and end-user automation tests"
"Full-stack Engineer, Digital Venture - Fully REMOTE",Contract/Temp,CP AXTRA PUBLIC COMPANY LIMITED,,"You are experienced and highly performance in at least one backend and frontend framework, e.g., SpringBoot, node.js (or related frameworks e.g. hapi.js, express.js, metor.js), nest.js, ReactJS, ReactNativeYou have experience in writing unit and acceptance tests, air programming, continuous integration, test-driven development, and incremental designYou have experience with code refactoring, design patters, design-driven development, continuous deployment, and highly scalable applicationsYou demonstrate experience in distributed and modular architectures e.g. microservices-basedYou are excellent understanding of latest development technologiesYou have high energy, strive towards cross-functional development in agile methodologies, inspire teammates to reach their maximum potential, embrace a culture of trust and complete transparency, promotes free thought, brave, rebellious, and willing to challenge status quo"
"Backend Engineer, Digital Venture - Fully REMOTE",Contract/Temp,CP AXTRA PUBLIC COMPANY LIMITED,,"You have experience as a backend engineer in common languages and frameworks, e.g., Node Js, ExpressJS, NestJS or any other JS frameworkYou have experience in AWSYou have experience in GraphQLYou have deep knowledge of object-oriented programing and engineering principles such as SOLIDYou have significant experience writing and utilizing autonomous services-oriented restful API services and performance tuning largescale appsYou have experience with database systems, with knowledge of SQL and NoSQL stores, e.g., MySQL, MongoDB, Redis, PostgresYou are able to write effective unit, integration, and API tests. It is a plus if you experience integrating with JavaScript frameworks, such as React"
DevOps Engineer - Fully REMOTE,Contract/Temp,CP AXTRA PUBLIC COMPANY LIMITED,,"Excellent scripting skills (e.g. Python, Bash, Perl)Experienced with building and maintaining large scale, cloud-based container-based platforms (in IaaS and PaaS)Working knowledge of deployment automation solutions (i.e. Terraform, Puppet, Chef, Ansible)Experienced AWS platform (certification is a plus)Experienced with containers and KubernetesExperienced with continuous integration and related tools such as GitlabCI, Jenkins, Hudson, Maven, Ant, Git, Sonar, etc.Familiar with security automation tools such as static application security testing etcStrong understanding of Agile methodologiesExperience as a DevOps or SRE Engineer on a cross-functional agile team preferred"
HSE and Compliance Manager (Toy/Garment/Footwear - Remote),Full time,METASOURCE COMPANY LIMITED,"$1,700 – $2,500 per month (USD)",Not Found
Inside Sales Representative - Remote (U.S Time),Contract/Temp,PT. PERSOLKELLY Recruitment Indonesia,Rp 8.000.000 – Rp 12.000.000 per month,Not Found
Executive Assistant to CEO (Remote),Full time,PT Sayap Garuda Indah,Rp 8.349.000 – Rp 12.500.000 per month,"Education: Bachelor’s degree in Business Administration or a related field.Age: 28-40 years.Experience: At least 7 years in executive support, preferably in a remote setting.Skills: Exceptional written and spoken English, strong IT skills (Microsoft Office, communication tools), outstanding time management, and multitasking abilities.Qualities: Proactive, organized, and highly reliable in managing diverse responsibilities."
Senior .NET Developer (Full Remote),Full time,DevStack,Rp 14.000.000 – Rp 21.000.000 per month,Not Found
Site Development Supervisor (Remote),Full time,PT MGI GAYA HIDUP MANAJEMEN,Rp 16.000.000 – Rp 20.000.000 per month,Not Found
IT Support,Full time,PT Kredit Biro Indonesia Jaya (Credit Bureau Indonesia),Rp 7.000.000 – Rp 10.000.000 per month,Not Found
Executive Assistant (Full Remote),Full time,DevStack,Rp 6.000.000 – Rp 7.500.000 per month,Not Found
Odoo Developer cum IT Support,Full time,THE MUSIC WORKS PTE. LTD.,"Rp 8,500,000 – Rp 10,000,000 per month","Strong analytical and problem-solving abilities.Effective communication and collaboration skills to work with non-technical teams.High attention to detail and commitment to delivering quality results.Self-motivated and able to work independently while aligning with team goals.
Preferred Skills:"
AI Trainer - Language Specialist (Indonesian/English),Part time,"Ebit Co., Ltd",$5 per hour (USD),"Any writing experience; Enrollment or completion of an undergraduate program in a humanities field or field related to writing
Experience in translating between English and Indonesian
Experience in writing professionally (copywriter, journalist, technical writer, editor, etc.)"
