Job Title,Job Category,Company Name,Salary,Level of Education,Requirements
Drafter,Purna Waktu / Full Time,PT CAHAYA KARYA PRAKARSA,Rp.5 – 6 Juta,"Diploma/D1/D2/D3, Sarjana / S1","Skills: Mampu menggunakan aplikasi Autocad Dapat menggunakan Microsoft Office (Word, Excel, Power Point) Mampu menghitung penawaran | Qualifications: Pendidikan Diploma Jurusan teknik Berpengalaman min 1 tahun di bidang yang sama"
Manager Asisten,Kontrak,PT KIDE LOGISTIK INDONESIA,Rp.15 – 20 Juta,Sarjana / S1,"Skills: Lancar berbahasa Mandarin, baik lisan maupun tulisan. Pengalaman dalam editing video adalah nilai tambah. Keterampilan komunikasi yang baik dan kemampuan organisasi yang tinggi. | Qualifications: Berpengalaman di bidangnya, Fresh graduate Pendidikan S1 sederajad"
Digital Advertiser,Purna Waktu / Full Time,Solusindo,Rp.2 – 3 Juta,"Diploma/D1/D2/D3, Sarjana / S1","Skills: Melaksanakan dan menganalisis strategi pemasaran digital, campaign, dan aktivitas Ads Mengetahui Dasar Meta Ads, Google Ads, dan TikTok Ads | Qualifications: Pendidikan minimal D3/S1 semua jurusan Memiliki ketertarikan di dunia Digital Marketing Berpengalaman minimal 1 tahun di bidang yang sama Memahami desain dan pengelolaan landing page Penempatan Area Paiton – Probolinggo"
Digital Marketing,Freelance,Porta Carne Indonesia,Rp.2 – 3 Juta,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM",Skills: 1. Graphic design 2. Copywriting 3. SEO (Search Engine Optimization) 4. Social media management 5. Email marketing 6. Expertise in Email Marketing Platforms | Qualifications: 1. Minimum high school education 2. Have an experience in the same position
Koordinator Sales,Kontrak,Izzi Express Cab Depok,Rp.4 – 5 Juta,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: 1. Menguasai Microsoft Word, Excel dan Power Point 2. Mampu berkoordinasi dan berkomunikasi via Telfon dan Whatsapp 3. Bisa menyetir mobil, lebih diutamakan | Qualifications: Memiliki pengalalaman di bidang terkait Memiliki SIM Motor dan Mobil, lebih diutamakan"
Sales,Kontrak,PT Panji Boga Internusa,Rp.3 – 4 Juta,SMA / SMK / STM,"Skills: Kemampuan komunikasi dan negosiasi yang baik. | Qualifications: Berpengalaman di bidang penjualan minimal 2 tahun, lebih disukai di industri makanan. Memiliki kendaraan pribadi dan SIM aktif untuk mobilitas kerja."
Digital Marketer,Paruh Waktu / Part Time,CV Sentral Gaya Utama,Rp.2 – 3 Juta,SMA / SMK / STM,"Skills: – Menguasai platform media sosial seperti Instagram dan Tiktok, menguasai penggunaan e-commerce seperti Shopee, menguasai digital ads (Instagram Ads, Facebook Ads, Shopee Ads) – Dapat menggunakan aplikasi editing simpel seperti Canva dan Capcut – Kemampuan menulis dan berkomunikasi yang baik – Mahir dalam penggunaan perangkat digital marketer – Pengetahuan dasar tentang SEO | Qualifications: Pendidikan minimal SMA/SMK, Freshgraduate welcome Pengalaman minimal 1 tahun di bidang yang sama"
Sustainability and Social Inspector – Textile Industry,Freelance,Ecocert SouthEast Asia Pte Ltd,Rp.20 Juta Lebih,"Master / S2, Sarjana / S1","Skills: – Textile audits skills – Understanding of textile industry regulations –Attention to details and well organized – Excellent communication, interpersonal and customer relations skills – Commitment to respect confidentiality, independence and impartiality | Qualifications: – Bachelor / Master Degree in quality, textile, ingredients science, sustainable development, environment management or social accountability – Fluent in both written & oral English. Fluent in other languages is a plus – 3 to 5 years experience as auditor in Textile industry is highly recommended"
Digital Advertiser,Purna Waktu / Full Time,KASIH PALESTINA,Rp.3 – 4 Juta,Sarjana / S1,"Skills: Memahami dengan baik CPAS / GTM Memahami A/B Testing, Target Market, Ads Copy, Landing Page dan Kreatif Konten Kemampuan analitis yang kuat serta mahir dalam Microsoft Office (Word, Excel, PowerPoint). | Qualifications: Pengalaman minimal 3 tahun dalam periklanan digital dan pemasaran media sosial."
IT Support,Purna Waktu / Full Time,Ringkat Teknologi Muliatama,Rp.4 – 5 Juta,Sarjana / S1,"Skills: • System Maintenance, Troubleshooting, Information Security, Software and Applications • The employee should be able to maintaining computer systems and networks. • To be able to troubleshoot, install, configure, test and maintain operating systems, application software and system management tools. • To be involve in Software Testing and Quality assurance of the company and report the management for analytical purpose. • Able to solve problems / issues and reduce the number of issues/system errors. | Qualifications: Minimum 1 year experience, fresh graduates are welcome S1 In kind of field The experience involving in software support for office or customer"
Trainer Praktek Komputerisasi Akuntansi,Freelance,YAYASAN PILAR INSAN NUSANTARA,Rp.2 – 3 Juta,"Diploma/D1/D2/D3, Sarjana / S1",Skills: Mahir menggunakan Aplikasi / Software Akuntansi ACCURATE | Qualifications: 1. Minimal lulusan D3 / S1 Akuntansi / Manajemen / Komputer 2. Fresh graduate silahkan melamar
Digital Marketing,Freelance,Coolinnerlife,Rp.1 - 2 Juta,"Diploma/D1/D2/D3, Sarjana / S1, SMA / SMK / STM","Skills: 1. Pemahaman yang kuat tentang platform iklan digital (Google Ads, Facebook Ads, dll.). 2. Bisa Canva | Qualifications: 1. Gelar Sarjana di bidang Pemasaran, Komunikasi, Teknologi Informasi, atau bidang terkait. 2. Pengalaman minimal 2 tahun di bidang digital marketing, SEO, SEM, dan manajemen media sosial. 3. Pemahaman yang kuat tentang platform iklan digital (Google Ads, Facebook Ads, dll.). 4. Familiar dengan alat analitik seperti Google Analytics, Google Search Console, dan alat CRM. 5. Kemampuan untuk bekerja dalam tim dan berkolaborasi dengan berbagai departemen. 6. Memiliki kemampuan komunikasi yang baik dan perhatian terhadap detail. 7. Kreatif, inisiatif, dan mampu bekerja dalam lingkungan yang cepat berubah."
Admin Operasional,Freelance,Iconiq Property,Rp.2 – 3 Juta,"Diploma/D1/D2/D3, SMA / SMK / STM","Skills: 1.Minimum Lulusan D3 atau SMA 2.Ahli dalam Excel 3.Mampu berkomunikasi dgn baik dengan orang lain. | Qualifications: 1. Minimum D3 atau SMA. 2. Berpengalaman di bidangnya, fresh graduate dipersilahkan"
