Job Title,Job Category,Company Name,Salary,Requirements,Level of Education
Executive Assistant to CEO (Remote),Full time,PT Sayap Garuda Indah,Rp 8.349.000 – Rp 12.500.000 per month,"Education: Bachelor’s degree in Business Administration or a related field.Age: 28-40 years.Experience: At least 7 years in executive support, preferably in a remote setting.Skills: Exceptional written and spoken English, strong IT skills (Microsoft Office, communication tools), outstanding time management, and multitasking abilities.Qualities: Proactive, organized, and highly reliable in managing diverse responsibilities.",
Odoo Developer cum IT Support,Full time,THE MUSIC WORKS PTE. LTD.,"Rp 8,500,000 – Rp 10,000,000 per month","Strong analytical and problem-solving abilities.Effective communication and collaboration skills to work with non-technical teams.High attention to detail and commitment to delivering quality results.Self-motivated and able to work independently while aligning with team goals.
Preferred Skills:",
AI Trainer - Language Specialist (Indonesian/English),Part time,"Ebit Co., Ltd","Rp 12,000,000.00 per Month","Any writing experience; Enrollment or completion of an undergraduate program in a humanities field or field related to writing
Experience in translating between English and Indonesian
Experience in writing professionally (copywriter, journalist, technical writer, editor, etc.)",
Kerja Remote Freelance WFH Host Live Streaming,Full time,BlueMeteor,Rp 3.500.000 – Rp 5.000.000 per month,"Memiliki Hp Tipe Android
Pendaftaran gratis
kami tidak melihat Ijasah semua bisa,
tanpa pengalaman
yang paling penting percaya diri dan tidak pemalu no drama and open mind please
Terbiasa tampil di depan kamera",
Sales Manager (remotely),Full time,PT. MATCH MAKERS AGENCY,Rp 4.000.000 – Rp 5.500.000 per month,"Proficiency in EnglishMinimum of 2 years of experience in sales, particularly in servicesEnergetic and reliableStrong communication and negotiation skills",
Sales and Service Coordinator (Remote/WFH),Full time,RemoHires,Rp7.000.000 – Rp8.000.000 per month,"Proven experience in telemarketing, customer service, or scheduling roles, with a strong preference for candidates with cold-calling experience.Exceptional communication and interpersonal skills with a customer-centered approach, capable of building positive relationships and managing customer inquiries effectively.High proficiency in both verbal and written English, enabling clear and professional communication with customers and team members.Demonstrated selling skills, especially in conducting cold calls, engaging clients, and guiding them through the sign-up process.Strong data management skills with advanced proficiency in Excel or Google Sheets for accurate record-keeping and organization.Detail-oriented with the ability to manage a high volume of customer information and maintain well-organized, accurate records.Willingness to work overnight hours (9 PM to 5 AM) to effectively support clients in different time zones.Self-motivated and able to work independently in a remote environment, with a proactive approach to problem-solving and task completion.
Device Requirements:
Reliable computer/laptop with updated processor and operating systemStable connection with at least 10 Mbps download speedNoise-canceling headset with microphone",
ERP Consultant (Japanese Speaker) - Jakarta - Remote Work,Contract/Temp,PT. PERSOLKELLY Recruitment Indonesia,Rp 20.000.000 – Rp 30.000.000 per month,"Minimum bachelor’s degree or equivalentAt least 2 years of experience in related fields such as Finance & Accounting, Sales, Procurement, Production, Logistics, or ITProfessional proficiency in Japanese (JLPT N2 or N1 required)Proficient in Microsoft OfficeStrong interpersonal skills and a good team player",
Cloud Engineer (Remote/WFH),Full time,RemoHires,Rp 8.000.000 – Rp 10.000.000 per month,"Bachelor’s degree in Computer Science, Engineering, or related field (or equivalent experience).3+ years in cloud infrastructure, DevOps, or system engineering, with experience advising on cloud strategy.Demonstrated expertise with a major cloud provider (AWS, Azure, or Google Cloud).Proficiency in cloud platforms, infrastructure as code (Terraform, CloudFormation), and containerization tools (Docker, Kubernetes).Strong scripting skills (e.g., Python, Bash, PowerShell) for automation.Solid understanding of networking (DNS, VPN, VPC, load balancing) and cloud security best practices.AWS Certified Solutions Architect, Microsoft Certified: Azure Solutions Architect, or similar.
Requirements:
Analytical skills and strategic thinking to assess and recommend cloud solutions.Strong communication skills for explaining complex technical concepts to clients and collaborating across teams.Self-motivated, able to work effectively in a remote environment.",
Sales Marketing,Full time,PT. Osell Selection Indonesia,Rp 4.700.000 – Rp 5.000.000 / month,"Age: 20 - 33 years oldActive English is preferredMinimum High School GraduateHave experience of at least 1 year in the sales and marketing fieldGood communication and negotiation skillsHonest and Good working attitudeExperience in e-commerce, internet, or trade industry is preferredHaving channel / database of household appliance stores / beauty stores / glassware stores / electronics stores in SurabayaHaving own vehicles and SIM C (Required for remote working system)Willing to join immediately",
Programmer (.NET)  Software Developer (Full Remote),Contract/Temp,PT Profescipta Wahanatehnik,"IDR 6,000,000 - 7,000,000 / month","Minimum 2 year experience in software development process. Freshgraduate are welcome to apply.Candidate must possess at least an Associate Degree from information system or related fields,Familiarity on SDLC process and agile tools,Proficiency in .NET framework and C#,Possesses strong logic and algorithm design,Strong teamwork attitude, independent, and familiar with agile environment.",
Front End Developer - Experienced,Full time,PT Gajah Agung Mandiri,Rp 9.000.000 – Rp 13.500.000 per month,"Candidate must possess at least Bachelor's Degree in Engineering (Computer/Telecommunication) or equivalent.Required language(s): EnglishAt least 5 Year(s) of working experience in the related field is required for this position.Required Skill(s): HTML, CSS, Bootstrap,Java Script, React JS, React - Next Js , Mobile Native & Web3 Js (optional )React Native / Android or IOS knowledge ( Kotlin/Swift)  is an advantage.All Frontend Integrations to back end.REST API/GRAPH QL.
Web 3 Integrations knowledge is also an advantage.",
Junior Accountant - Manufacturing Industry - Remote Work,Contract/Temp,PT. PERSOLKELLY Recruitment Indonesia,Rp 6.000.000 – Rp 8.500.000 per month,"Bachelor's degree, preferably in Accounting, Business Administration, or related fields.1 year of proven working experience in Accounting.Fresh Graduates with strong academic achievement are also welcome to apply.Proficiency with Microsoft Office products (Word, Outlook, Excel).  Previous experience in Netsuite is preferredAbility to communicate clearly with excellent verbal, written, and listening skillsAbility to work as an individual contributor and as a valued participant in a team-based environmentA high degree of accuracy and attention to detailHigh Integrity, Proactive, and Willingness to learn is a MUST",
Software Engineer (Remote position available),Full time,PT Fajar Mulia Transindo,Rp 6.000.000 – Rp 8.000.000 per month,"Proficiency in Laravel, React JS, MySQL, and Git.Knowledge of webserver (Apache & Nginx) and UNIX operating systemMinimum of 2 years of relevant software development experience.Strong analytical skills, with the ability to swiftly grasp coding structures.Familiarity with processes such as code review, unit testing, and branch merging.",
Principal Engineer,Full time,"UpperGround by Hudson - Technology, Projects & Transformation",Attactive salary package and bonus scheme (AUD),"Degree in computer science, software engineering, machine learning, mathematics, or a related discipline.10+ years of relevant programming experience with a proven track record in software development.Proficiency in Java, Spring Boot, and microservices architecture.Experience in relational database design and management, and databases like MongoDB or DynamoDB for flexible data storage.Skilled at accurately estimating development and testing efforts.Familiar with the latest industry trends and development methodologies.Ability to influence and execute across teams.Strong mentoring skills.Capability to translate strategy into execution.
Your Personal Qualities:
Strong decision-making skills.Collaborative and cooperative.Excellent at building rapport and achieving consensus across teams.Proficient in navigating ambiguity and bridging gaps in understanding.
Are you a skilled Principal Engineer ready to lead and innovate? Join Nuix, where diversity and inclusion are at the heart of their culture. Apply now to drive impactful projects in a supportive environment that values your expertise and fosters your professional growth. Seize this opportunity to move to Australia-apply today and be a part of Nuix's success story!",
Customer Success Specialist - Sport Tech Startup,Full time,PT Ayo Indonesia Maju (ayo.co.id),Rp 5.000.000 – Rp 7.000.000 per month,"Minimum 1 year of experience in customer service or a similar role.Proven ability to build strong relationships and provide exceptional customer support.Excellent communication and interpersonal skills, both written and verbal.Outgoing and friendly personality.Strong analytical and problem-solving skills.Proficient in using computers and comfortable learning new software tools.Passionate about sports and a strong understanding of the Indonesian sports landscape (a plus).Ability to work independently and manage multiple tasks simultaneously.",
Mandarin Speaker in Education Field (Multiple Roles - Full Time),Full time,Elite Asia,Rp 5.000.000 – Rp 7.000.000 per month,"1. Experience in Applying to Chinese Universities with Scholarships: Prior experience successfully applying to Chinese universities with scholarships is highly preferred. Familiarity with the application process and scholarship opportunities is a significant advantage.
2. Fast Learner: The candidate should be a quick learner who can understand a large amount of dynamic information in a short period of time, digest them and explain them to the customers.
3. Responsiveness: Timely and effective communication is crucial. The candidate should be responsive to inquiries and able to provide prompt assistance to students and parents.
4. Resourcefulness: The ability to find solutions and workarounds to potential challenges or obstacles in the application process is essential. Resourcefulness in helping students secure scholarships and navigate complex procedures is a valuable skill.
5. Responsibility: Demonstrated responsibility in handling confidential student information, managing financial transactions, and ensuring all tasks are completed accurately and on time is required.
6. Mandarin Proficiency (HSK 4-6): Proficiency in Mandarin, typically at HSK 4 to 6, is essential, enabling effective communication with Chinese universities. Mandarin is also the working language in IndoPanda.
Remuneration: Basic Salary + Commission",
Real Estate Marketing (Placement in Bali),Part time,Toucan Bali Property,Rp 3.000.000 – Rp 3.500.000 per month,"Real estate marketing experience Strong communicationInterpersonal skills Proficiency in digital marketing toolsTechniques Knowledge of the real estate market trendsCustomer behavior Independent work ability Attention to detail and strong organizational skills Flexibility and adaptabilityMinimum 1 year of experience in Real StatePlacement in Kuta, Bali",
Offline Marketing (Public Relations) Manager,Full time,PT Inspirasi Edukasi Indonesia,Rp 6.000.000 – Rp 9.000.000 per month,Experience in offline marketing.Deep understanding of the Indonesian market and its specifics.Creativity and ability to develop unique marketing strategies.Excellent communication skills and the ability to work in a team.Ability to analyze campaign results and make necessary adjustments.,
Graphic & Social Media Designer,Full time,PT NITIFESE GLOBAL HORIZON,"Rp 3,500,000 – Rp 4,000,000 per month","- Pendidikan terakhir minimal SMA/SMK
- Dapat bekerja di bawah tekanan
- Dapat bekerja secara independent maupun dengan tim
- Berkarakter baik, jujur, bertanggung jawab, serta rajin
Apabila anda memiliki minat dan ketertarikan dalam bidang properti, kami mengundang anda untuk melamar pada posisi ini dan bergabung dalam tim kami di Polar Brand.",
Customer Support and Sales Specialist,Full time,Private Advertiser,Rp 5.000.000 – Rp 6.500.000 per month,"2-3 years of experience in account management, customer service, or sales.Bachelor’s degree in Business, Marketing, or a related field.Fluent in English and Bahasa, with excellent communication skills (written and verbal).Proficiency with WhatsApp, email, and other communication tools.Independent, detail-oriented, and highly organized.Customer-first mindset with a proactive, solution-driven approach.Ability to work remotely.",
Android Developer,Full time,PT Lifty Media Indonesia,Rp 10.000.000 – Rp 15.000.000 per month,"? Minimum 1 years of experience in Android development.
? Strong proficiency in Kotlin (minimum 2 years).
? Proven ability to write clean, efficient, and maintainable code.
? Experience with version control systems
? Strong problem-solving and debugging skills.
? Excellent communication and collaboration abilities.
? A passion for creating exceptional user experiences.",
Inside Sales Intern,Full time,PT Logique Digital Indonesia,Rp 1.400.000 – Rp 2.000.000 per month,"Currently pursuing or recently completed a degree in Business, Marketing, or IT-related field.Excellent verbal and written communication skills.Ability to work independently and collaboratively within a team.Strong organizational and time-management skills.Self-motivated, eager to learn, and results-driven.",
